target_inter_id,target_inter_name,movement,entrance_dir8,entrance_eight_direction,turn_dir_no,exit_dir8,downstream_inter_id,downstream_inter_name,receiving_eight_direction,receiving_turn_dir_no,period,target_overflow_max_pm,target_overflow_mean_pm,target_overflow_max_all,target_sat_max_pm,target_green_util_max_pm,target_queue_max_m_pm,downstream_overflow_max_pm,downstream_sat_max_pm,screen_type,target_overflow_problem,target_sat_problem,target_high_demand,downstream_blocked,downstream_slack,has_downstream_dwd
011wwe28xwc00002,花园东路与辛河路路口,南进口左转,4,5,1,6,011wwe28xs900001,花园东路与西周南路路口,3,1,evening_peak,0.0543,0.0055,0.1813,,,19.4,,,OTHER,False,False,False,,,False
011wwe28xwc00002,花园东路与辛河路路口,西进口直行,6,7,2,2,011wwe28zdk00001,奥体西路与花园东路路口,7,2,evening_peak,0.2992,0.1425,0.4107,,,86.4,,,OTHER,False,False,False,,,False
011wwe28y7r00001,兴贤北街与奥体西路路口,北进口左转,0,1,1,2,011wwe28yt200001,兴贤北街与正丰路路口,7,1,evening_peak,0.085,0.0145,0.085,,,22.6,0.1072,,OTHER,False,False,False,False,True,True
011wwe28y7r00001,兴贤北街与奥体西路路口,北进口直行,0,1,2,4,011wwe28vu000001,奥体西路与规划路路口,1,2,evening_peak,0.4023,0.0635,0.8783,,,107.0,0.162,0.0,WEAK_TYPE1,False,False,False,False,True,True
011wwe28y7r00001,兴贤北街与奥体西路路口,东进口左转,2,3,1,4,011wwe28vu000001,奥体西路与规划路路口,1,1,evening_peak,0.0649,0.0091,0.1204,,,13.8,0.0406,0.0,OTHER,False,False,False,False,True,True
011wwe28y7r00001,兴贤北街与奥体西路路口,南进口直行,4,5,2,0,011wwe28ygh00001,奥体西路与康虹路路口,5,2,evening_peak,0.121,0.0473,0.2814,,,52.2,0.196,,OTHER,False,False,False,False,True,True
011wwe28ygh00001,奥体西路与康虹路路口,北进口左转,0,1,1,2,011wwe28yvp00001,康虹路与正丰路路口,7,1,evening_peak,0.1468,0.0309,0.1468,,,63.2,0.0872,,OTHER,False,False,False,False,True,True
011wwe28ygh00001,奥体西路与康虹路路口,北进口直行,0,1,2,4,011wwe28y7r00001,兴贤北街与奥体西路路口,1,2,evening_peak,0.1524,0.0306,0.1672,,,65.6,0.4023,,OTHER,False,False,False,False,True,True
011wwe28ygh00001,奥体西路与康虹路路口,东进口左转,2,3,1,4,011wwe28y7r00001,兴贤北街与奥体西路路口,1,1,evening_peak,0.0685,0.0107,0.3126,,,16.0,0.085,,OTHER,False,False,False,False,True,True
011wwe28ygh00001,奥体西路与康虹路路口,东进口直行,2,3,2,6,011wwe28y9p00001,康奥路与康虹路路口,3,2,evening_peak,0.2454,0.031,0.2454,,,57.3,,,OTHER,False,False,False,,,False
011wwe28ygh00001,奥体西路与康虹路路口,南进口左转,4,5,1,6,011wwe28y9p00001,康奥路与康虹路路口,3,1,evening_peak,0.0661,0.0102,0.0713,,,17.6,,,OTHER,False,False,False,,,False
011wwe28ygh00001,奥体西路与康虹路路口,西进口直行,6,7,2,2,011wwe28yvp00001,康虹路与正丰路路口,7,2,evening_peak,0.3976,0.0638,0.4789,,,92.0,0.2114,,WEAK_TYPE1,False,False,False,False,True,True
011wwe28yjg00001,正丰路与正丰路路口,北进口直行,0,1,2,4,011wwe28vy300001,正丰路与规划路路口,1,2,evening_peak,0.157,0.008,0.4001,,,39.0,0.782,0.1886,OTHER,False,False,False,False,True,True
011wwe28yjg00001,正丰路与正丰路路口,南进口直行,4,5,2,0,011wwe28yt200001,兴贤北街与正丰路路口,5,2,evening_peak,0.3523,0.0131,0.3523,,,71.0,0.091,,WEAK_TYPE1,False,False,False,False,True,True
